,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
57,Hithadhoo,100,MV,79,-0.6,73.0833,80.67,16.75
58,Severo-Kurilsk,100,RU,79,50.6789,156.125,45.9,10.51
59,Camiri,75,BO,23,-20.05,-63.5167,76.78,0.0
60,Sao Joaquim,100,BR,98,-28.2939,-49.9317,45.14,5.12
61,Busselton,93,AU,68,-33.65,115.3333,52.54,8.86
62,Petropavlovsk-Kamchatskiy,75,RU,86,53.0452,158.6483,28.99,2.24
63,Puerto Escondido,86,MX,62,15.85,-97.0667,87.12,6.76
64,Svetlaya,10,RU,86,46.5389,138.3297,50.5,11.81
65,Marang,100,MY,81,5.2056,103.2059,82.96,2.64
66,Rabo De Peixe,20,PT,73,37.8,-25.5833,72.91,9.22
67,Jamestown,20,US,48,42.097,-79.2353,63.52,14.97
68,Northam,7,GB,69,51.0333,-4.2167,54.61,10.07
69,Namibe,60,AO,85,-15.1961,12.1522,68.88,11.97
70,Blythe,1,US,23,33.6103,-114.5964,92.03,0.38
71,Hilo,5,US,81,19.7297,-155.09,85.24,5.01
72,Torbay,20,CA,53,47.6666,-52.7314,55.58,19.57
73,Upernavik,82,GL,68,72.7868,-56.1549,14.92,4.52
74,Nikolskoye,84,RU,87,59.7035,30.7861,44.8,6.44
75,Novobirilyussy,100,RU,85,56.9514,90.6661,42.93,9.66
76,La Ronge,20,CA,30,55.1001,-105.2842,68.25,10.36
77,Butaritari,99,KI,73,3.0707,172.7902,81.95,14.83
78,Abu Dhabi,0,AE,66,24.4667,54.3667,87.82,4.61
79,Anadyr,0,RU,79,64.75,177.4833,16.3,6.71
80,Koulikoro,84,ML,37,14.0,-7.75,87.08,6.02
81,Prince Rupert,100,CA,80,54.3161,-130.3201,53.69,18.41
82,Qax,40,AZ,53,41.4225,46.9242,59.99,4.65
83,Balkanabat,0,TM,15,39.5108,54.3671,73.29,9.89
84,Srednekolymsk,54,RU,95,67.45,153.6833,16.57,8.93
85,Poso,100,ID,88,-1.3959,120.7524,76.59,3.69
86,Ribeira Grande,20,PT,73,38.5167,-28.7,75.6,9.22
87,Fereydun Kenar,5,IR,73,36.6864,52.5225,74.88,16.73
88,Norman Wells,100,CA,100,65.282,-126.8329,32.04,25.32
89,Poum,100,NC,72,-20.2333,164.0167,76.17,17.78
90,Saint-Philippe,15,RE,78,-21.3585,55.7679,71.19,8.52
91,Nanticoke,25,US,55,41.2054,-76.0049,66.42,5.99
92,Iquitos,40,PE,70,-3.7481,-73.2472,91.44,4.61
93,Ceres,0,US,24,37.5949,-120.9577,87.8,9.26
94,Broken Hill,100,AU,37,-31.95,141.4333,58.6,9.15
95,Redlands,16,US,54,34.0556,-117.1825,88.2,1.01
96,Nome,12,US,67,64.5011,-165.4064,29.91,2.17
97,Athabasca,100,CA,38,54.7169,-113.2854,64.81,8.99
98,Victoria,3,HK,44,22.2855,114.1577,74.32,3.0
99,Port Hardy,75,CA,71,50.6996,-127.4199,55.58,9.22
100,Zambezi,96,ZM,21,-13.5432,23.1047,72.66,5.88
101,Trelew,9,AR,13,-43.249,-65.3051,76.66,10.96
102,Castro,100,BR,95,-24.7911,-50.0119,58.6,9.84
103,Dunedin,100,NZ,76,-45.8742,170.5036,50.38,20.18
104,Karratha,13,AU,35,-20.7377,116.8463,76.8,9.4
105,Contamana,99,PE,30,-7.3333,-75.0167,97.2,4.65
106,Bonthe,26,SL,87,7.5264,-12.505,78.44,6.91
107,Las Palmas,20,ES,78,28.4204,-14.0131,70.59,12.66
108,Caraguatatuba,100,BR,99,-23.6338,-45.4899,70.32,2.3
109,Golpayegan,0,IR,23,33.4537,50.2884,63.75,5.41
110,Fairbanks,40,US,90,64.8378,-147.7164,31.6,6.91
111,Chicama,27,PE,61,-7.8447,-79.1469,64.94,10.2
112,Lompoc,100,US,90,34.6391,-120.4579,64.54,5.75
113,Saint George,0,US,30,37.1041,-113.5841,79.79,4.0
114,Biak,100,ID,85,-0.9131,122.8766,75.85,3.62
115,Ostrovnoy,100,RU,89,68.0531,39.5131,40.39,13.15
116,Vaini,40,TO,83,-21.2,-175.2,71.76,18.41
117,Cortez,1,US,57,37.3489,-108.5859,66.94,7.23
118,Tisul,100,RU,81,55.7611,88.3122,43.56,14.65
119,San Patricio,94,US,48,28.017,-97.5169,87.66,14.41
120,Phangnga,100,TH,93,8.4509,98.5298,77.04,2.1
121,Brasilia De Minas,49,BR,15,-16.2064,-44.4333,93.16,12.53
122,Ankang,5,CN,76,32.68,109.0172,48.09,0.18
123,Faanui,16,PF,74,-16.4833,-151.75,78.15,17.54
124,Kiama,78,AU,89,-34.6833,150.8667,60.01,0.31
125,Kalevala,87,RU,92,65.2,31.1667,43.7,8.97
126,Conceicao Do Araguaia,75,BR,15,-8.2578,-49.2647,103.26,10.51
127,Polunochnoye,48,RU,78,60.8697,60.4153,40.69,6.85
128,Puerto Ayora,55,EC,88,-0.7393,-90.3518,75.16,8.01
129,Sao Filipe,41,CV,76,14.8961,-24.4956,78.84,7.65
130,Kavieng,14,PG,74,-2.5744,150.7967,80.33,8.81
131,Kaitangata,99,NZ,76,-46.2817,169.8464,49.89,12.64
132,Yumen,16,CN,17,40.2833,97.2,43.57,2.24
133,Hualmay,42,PE,72,-11.0964,-77.6139,67.1,10.85
134,Daru,100,PG,88,-9.0763,143.2092,78.4,9.82
135,Ust-Kuyga,96,RU,99,70.0167,135.6,6.94,8.43
136,Port Elizabeth,40,ZA,90,-33.918,25.5701,70.11,19.57
137,Lavrentiya,3,RU,68,65.5833,-171.0,24.94,7.72
138,Norrtalje,93,SE,79,59.758,18.705,53.02,16.35
139,Saldanha,100,ZA,84,-33.0117,17.9442,77.05,10.6
140,San Remigio,97,PH,82,11.0809,123.9381,80.71,8.43
141,Santa Vitoria Do Palmar,8,BR,52,-33.5189,-53.3681,57.7,9.73
142,Lagoa,100,PT,86,39.05,-27.9833,70.38,7.76
143,Yokaichi,84,JP,67,35.1139,136.2037,57.47,8.01
144,Zlynka,0,RU,85,52.4267,31.7378,43.63,6.82
145,Bathsheba,40,BB,79,13.2167,-59.5167,86.61,18.41
146,Santa Cruz De Tenerife,40,ES,84,28.4682,-16.2546,76.28,14.97
147,Ornskoldsvik,0,SE,87,63.2909,18.7153,49.15,14.97
148,Slave Lake,100,CA,48,55.2834,-114.769,64.38,14.97
149,Kanniyakumari,56,IN,86,8.0833,77.5667,79.48,10.16
150,Deputatskiy,55,RU,96,69.3,139.9,2.34,7.11
151,Sabang,100,ID,76,5.8933,95.3214,81.28,15.21
152,Longyearbyen,75,SJ,75,78.2186,15.6401,33.64,4.61
153,Kumluca,0,TR,58,36.3703,30.2869,73.18,4.88
154,Fredericton,20,CA,42,45.9454,-66.6656,56.82,9.22
155,Los Llanos De Aridane,40,ES,87,28.6585,-17.9182,69.55,11.5
156,Sitka,100,US,72,57.0531,-135.33,49.51,6.4
157,Turayf,0,SA,36,31.6725,38.6637,77.25,6.91
158,Mogadishu,7,SO,82,2.0371,45.3438,77.38,17.9
159,Laguna,0,US,43,38.421,-121.4238,90.09,3.0
160,Dikson,100,RU,99,73.5069,80.5464,34.21,7.83
161,Hobyo,71,SO,86,5.3505,48.5268,77.79,23.02
162,Half Moon Bay,100,US,81,37.4636,-122.4286,79.59,11.5
163,Vila,13,PT,90,42.0304,-8.1588,55.71,1.3
164,San Rafael,1,AR,12,-34.6177,-68.3301,71.6,12.84
165,Asau,51,RO,67,46.4333,26.4,43.72,1.41
166,Kysyl-Syr,95,RU,97,63.8986,122.7617,22.1,2.53
167,Priargunsk,25,RU,41,50.3691,119.1012,35.17,2.15
168,Mahebourg,40,MU,83,-20.4081,57.7,71.89,11.5
169,Susangerd,0,IR,13,31.5608,48.1831,91.13,7.31
170,Lao Cai,24,VN,85,22.4833,103.95,64.29,0.89
171,Ponta Delgada,20,PT,73,37.7333,-25.6667,74.12,9.22
172,Port Lincoln,99,AU,33,-34.7333,135.8667,65.46,20.09
173,Vagay,100,RU,70,57.9375,69.0217,50.68,11.81
174,Arlit,0,NE,11,18.7369,7.3853,91.65,7.92
175,Camabatela,7,AO,82,-8.1881,15.375,66.07,2.77
176,Guayaramerin,75,BO,46,-10.8368,-65.3614,95.05,4.61
177,Curvelo,57,BR,17,-18.7564,-44.4308,93.52,10.36
178,Hambantota,20,LK,100,6.1241,81.1185,77.34,4.61
179,Rio Grande,100,BR,59,-32.035,-52.0986,60.91,12.75
180,Tagusao,100,PH,83,9.1924,117.8141,79.11,5.26
181,Nakamura,71,JP,68,32.9833,132.9333,58.06,6.44
182,Mahanoro,0,MG,82,-19.9,48.8,64.92,6.31
183,Pisco,14,PE,63,-13.7,-76.2167,66.25,9.22
184,Cherskiy,100,RU,95,68.75,161.3,18.12,12.28
185,Verkhnyaya Inta,100,RU,96,65.9811,60.3094,38.68,20.96
186,Thompson,20,CA,48,55.7435,-97.8558,62.76,12.66
187,Cayenne,20,GF,66,4.9333,-52.3333,87.84,16.11
188,Burnie,100,AU,89,-41.0667,145.9167,47.95,3.98
189,Altay,1,CN,68,47.8667,88.1167,36.75,3.0
190,Haines Junction,100,CA,80,60.7522,-137.5108,35.55,1.14
191,Cotonou,40,BJ,78,6.3654,2.4183,80.58,6.91
192,Bani,9,DO,60,18.2833,-70.3333,90.84,15.86
193,Hudson Bay,16,CA,29,52.85,-102.3842,69.8,12.66
194,Amapa,100,BR,52,1.0,-52.0,87.15,5.3
195,Susanville,0,US,26,40.4163,-120.653,75.13,1.01
196,Kenai,75,US,84,60.5544,-151.2583,36.09,0.0
197,Hamilton,0,US,38,39.1834,-84.5333,74.08,1.99
198,Abaete,13,BR,22,-19.16,-45.4458,92.08,5.01
199,Salalah,8,OM,59,17.0151,54.0924,78.53,1.3
200,Vitim,100,RU,99,59.4511,112.5578,34.39,3.49
201,Kununurra,6,AU,78,-15.7667,128.7333,75.18,0.0
202,Copala,100,MX,62,16.65,-98.9833,85.87,4.52
203,Charters Towers,87,AU,93,-20.1,146.2667,66.25,7.18
204,Duku,1,NG,69,11.2361,4.9073,79.95,4.74
205,Passo De Camaragibe,100,BR,65,-9.2368,-35.4901,81.95,7.65
206,Rancho Palos Verdes,80,US,77,33.7445,-118.387,76.08,5.99
207,Goiatuba,98,BR,56,-18.0125,-49.3547,81.18,11.36
208,Egvekinot,76,RU,72,66.3167,-179.1667,11.62,6.46
209,Nanortalik,100,GL,81,60.1432,-45.2371,39.4,8.75
210,Mishkino,100,RU,74,55.3389,63.9175,47.23,8.99
211,Pochutla,100,MX,76,15.7432,-96.4661,79.86,0.74
212,Touros,11,BR,70,-5.1989,-35.4608,81.46,16.24
213,Esso,81,RU,94,55.9333,158.7,21.0,3.98
214,Tiznit,5,MA,71,29.5833,-9.5,67.06,5.32
215,Kruisfontein,98,ZA,80,-34.0033,24.7314,67.89,7.45
216,Lebu,3,CL,70,-37.6167,-73.65,52.84,20.6
217,Cruzeiro Do Sul,100,BR,94,-29.5128,-51.9853,56.52,2.95
218,Walvis Bay,99,NA,88,-22.9575,14.5053,60.1,4.61
219,Witu,8,KE,83,-2.3889,40.4382,77.16,11.3
220,Smolenka,98,RU,74,52.1352,113.4974,24.87,0.0
221,Moron,100,AR,26,-34.6534,-58.6198,72.95,10.07
222,Balabac,100,PH,83,7.9868,117.0645,79.72,9.17
223,Saint-Pierre,0,RE,73,-21.3393,55.4781,71.28,3.44
224,Filingue,14,NE,21,14.3521,3.3168,95.56,8.39
225,Bambous Virieux,40,MU,83,-20.3428,57.7575,71.85,11.5
226,Nokaneng,0,BW,15,-19.6667,22.2667,75.65,6.31
227,Ambikapur,56,IN,89,23.1167,83.2,71.51,4.68
228,Okha,100,RU,93,53.5739,142.9478,43.18,11.05
229,Codrington,98,AU,71,-38.2667,141.9667,50.31,10.74
230,Klaksvik,100,FO,73,62.2266,-6.589,41.92,31.34
231,Wakkanai,92,JP,69,45.4094,141.6739,59.72,20.89
232,Sherman,40,US,39,33.6357,-96.6089,86.9,10.36
233,Tasiilaq,100,GL,98,65.6145,-37.6368,32.13,10.33
234,Nizwa,7,OM,16,22.9333,57.5333,78.78,4.79
235,Chuy,6,UY,52,-33.6971,-53.4616,57.31,10.13
236,Jinka,44,ET,77,5.65,36.65,64.17,3.51
237,Yenangyaung,100,MM,86,20.4667,94.8833,77.85,5.46
238,Khandyga,100,RU,97,62.6667,135.6,28.02,6.04
239,Cabo San Lucas,0,MX,53,22.8909,-109.9124,95.61,6.13
240,Dovolnoye,99,RU,71,54.4958,79.6671,46.09,14.16
241,Nantucket,100,US,68,41.2835,-70.0995,65.08,15.12
242,Aklavik,100,CA,85,68.2191,-135.0107,31.86,21.0
243,Toguchin,100,RU,78,55.2353,84.3858,44.02,13.44
244,Westport,24,US,46,41.1415,-73.3579,70.12,13.0
245,Pangody,100,RU,87,65.85,74.4859,39.09,16.87
246,Airai,100,TL,85,-8.9266,125.4092,61.03,2.08
247,Kantunilkin,100,MX,80,21.0917,-87.45,81.21,3.8
248,Bull Savanna,41,JM,68,17.8868,-77.5902,83.61,12.91
249,Horizontina,100,BR,98,-27.6258,-54.3078,54.43,6.42
250,Mlonggo,100,ID,83,-6.5333,110.7,79.12,3.44
251,Bongor,3,TD,74,10.2806,15.3722,77.92,5.61
252,Esperance,98,AU,74,-33.8667,121.9,54.1,19.62
253,Souillac,40,MU,83,-20.5167,57.5167,71.98,11.5
254,Nouadhibou,13,MR,78,20.931,-17.0347,73.38,18.41
255,Isangel,100,VU,78,-19.55,169.2667,73.76,13.18
256,Honiara,10,SB,84,-9.4333,159.95,77.0,1.25
257,Saint Anthony,0,US,45,45.0205,-93.218,70.93,9.22
258,Kahului,1,US,82,20.8947,-156.47,83.97,4.0
259,Cidreira,100,BR,82,-30.1811,-50.2056,57.31,14.34
260,Miyoshi,7,JP,69,35.0833,137.0667,65.82,7.54
261,Ratnagiri,100,IN,93,16.9833,73.3,76.17,6.11
262,Emerald,88,AU,78,-23.5333,148.1667,65.34,10.02
263,The Valley,40,AI,79,18.217,-63.0578,87.66,12.66
264,Juneau,100,US,100,58.3019,-134.4197,48.22,6.24
265,Yar-Sale,100,RU,86,66.8333,70.8333,39.78,12.97
266,Broome,100,US,64,42.2506,-75.833,62.53,3.0
267,Buchanan,35,LR,83,5.8808,-10.0467,78.62,5.68
268,Sergeyevka,100,KZ,62,53.88,67.4158,49.1,10.96
269,Chokurdakh,100,RU,91,70.6333,147.9167,19.35,16.75
270,Krasnyy Yar,86,RU,92,46.5331,48.3456,58.96,3.91
271,Ippy,92,CF,97,6.2679,21.2247,68.5,3.06
272,Mae Hong Son,74,TH,98,19.3003,97.9685,71.42,1.99
273,Golspie,42,GB,75,57.9727,-3.978,50.14,15.93
274,Den Helder,20,NL,69,52.9599,4.7593,57.18,14.0
275,Bilibino,100,RU,97,68.0546,166.4372,9.66,3.42
276,Cap Malheureux,8,MU,70,-19.9842,57.6142,71.47,4.0
277,Diu,100,IN,83,20.7141,70.9822,80.33,5.84
278,Kibala,0,TD,83,9.1104,18.3463,78.75,2.3
279,Arman,24,RU,85,59.7,150.1667,24.1,5.64
280,Mecca,0,SA,52,21.4267,39.8261,85.1,1.59
281,Wilmington,100,US,57,34.2257,-77.9447,75.11,7.0
282,Paamiut,100,GL,97,61.994,-49.6678,36.48,36.33
283,Fortuna,0,US,100,40.5982,-124.1573,56.32,6.91
284,Mangochi,4,MW,24,-14.4782,35.2645,82.06,5.59
285,San Roque,75,ES,64,36.2107,-5.3842,72.43,6.91
286,Seydi,0,TM,21,39.4816,62.9137,59.52,10.33
287,Mocuba,0,MZ,75,-16.8392,36.9856,73.62,7.7
288,Gbarnga,55,LR,96,6.9956,-9.4722,73.89,2.66
289,Rehoboth,97,NA,10,-23.3167,17.0833,78.26,4.45
290,Santa Cruz,75,BO,43,-17.8,-63.1667,71.06,9.22
291,Strezhevoy,100,RU,90,60.7333,77.5889,46.54,13.02
292,College,40,US,91,64.8569,-147.8028,31.59,6.91
293,Dicabisagan,100,PH,91,17.0818,122.4157,77.43,8.97
294,Pacific Grove,76,US,95,36.6177,-121.9166,69.82,3.0
295,Bilma,0,NE,17,18.6853,12.9164,86.38,4.23
296,Crixas,3,BR,16,-14.5489,-49.9692,100.53,8.75
297,Gombong,100,ID,93,-7.6072,109.5142,75.9,1.86
298,Nchelenge,21,ZM,40,-9.3451,28.734,76.89,4.34
299,Tuktoyaktuk,75,CA,86,69.4541,-133.0374,30.2,24.16
300,Erzin,0,TR,56,36.9559,36.2,69.06,2.48
301,Pao De Acucar,71,BR,46,-9.7483,-37.4367,86.04,17.34
302,Vydrino,100,RU,74,51.485,104.8461,40.87,7.02
303,Smithers,40,CA,40,54.7804,-127.1743,53.92,16.11
304,High Level,75,CA,43,58.5169,-117.136,53.71,6.91
305,Tokur,56,RU,63,53.1333,132.9,23.07,2.64
306,Cartagena Del Chaira,77,CO,56,1.3349,-74.8429,87.42,1.59
307,Belle Fourche,0,US,20,44.6714,-103.8522,77.5,2.82
308,Lasa,98,IT,92,46.6166,10.7002,53.37,2.17
309,Yelizovo,75,RU,86,53.1873,158.3805,30.34,2.24
310,Thinadhoo,90,MV,80,0.5333,72.9333,80.78,18.63
311,Ucluelet,100,CA,93,48.9329,-125.5528,60.1,5.01
312,Mbekenyera,0,TZ,84,-10.0,38.9833,68.16,5.1
313,Rabak,23,SD,47,13.1809,32.74,79.86,7.96
314,Mitsamiouli,20,KM,72,-11.3847,43.2844,76.17,7.05
315,Pokosnoye,100,RU,89,55.5258,101.0536,39.54,6.69
316,The Pas,0,CA,42,53.8251,-101.2541,66.22,14.97
317,Caravelas,93,BR,62,-17.7125,-39.2481,81.0,10.2
318,Cockburn Town,40,TC,70,21.4612,-71.1419,84.16,13.8
319,Bergerac,100,FR,88,44.8333,0.5,69.78,1.14
320,Krasnoarmeysk,100,RU,78,51.0239,45.6969,51.58,10.63
321,Buraydah,0,SA,11,26.326,43.975,82.85,8.03
322,Pevek,100,RU,80,69.7008,170.3133,25.47,25.21
323,Atar,86,MR,19,20.5169,-13.0499,97.03,8.86
324,Nuuk,100,GL,60,64.1835,-51.7216,40.87,21.9
325,Alihe,5,CN,66,50.5667,123.7167,30.76,3.47
326,Katsuura,100,JP,73,35.1333,140.3,72.45,26.51
327,Mehamn,0,NO,81,71.0357,27.8492,40.95,8.05
328,Mpanda,100,TZ,35,-6.3655,31.0409,77.31,1.77
329,Pierre,100,US,36,44.3683,-100.351,75.06,5.99
330,Bengkulu,100,ID,82,-3.8004,102.2655,77.14,0.85
331,Beringovskiy,43,RU,64,63.05,179.3167,31.39,11.99
332,Redmond,100,US,68,47.674,-122.1215,72.09,4.0
333,Curico,0,CL,37,-34.9833,-71.2333,69.91,4.61
334,Voh,100,NC,79,-20.9667,164.7,72.41,5.97
335,Nadym,68,RU,86,65.5333,72.5167,38.07,15.55
336,Araxa,75,BR,37,-19.5933,-46.9406,84.16,6.91
337,Jabinyanah,100,TN,71,35.035,10.9081,78.6,13.65
338,Katsuyama,83,JP,87,36.0617,136.501,57.56,3.85
339,Portland,99,US,63,45.5234,-122.6762,75.81,4.0
340,Harnosand,99,SE,76,62.6323,17.9379,51.01,16.64
341,Alyangula,67,AU,81,-13.8483,136.4192,78.15,6.11
342,Belmonte,12,BR,67,-15.8631,-38.8828,80.26,10.76
343,Saravena,100,CO,57,6.9538,-71.8752,87.28,1.19
344,Ponta Do Sol,56,PT,75,32.6667,-17.1,74.12,8.05
345,Kita,53,ML,82,13.0349,-9.4895,74.53,2.39
346,Isparta,0,TR,63,38.0,31.0,55.9,6.91
347,Port Blair,100,IN,94,11.6667,92.75,75.24,0.0
348,Orangeburg,73,US,75,33.4918,-80.8557,75.7,5.99
349,Bethel,34,US,49,41.3712,-73.414,69.03,4.0
350,Kloulklubed,100,PW,69,7.0419,134.2556,84.94,13.04
351,Dalnerechensk,100,RU,93,45.9339,133.7225,45.46,14.7
352,Babstovo,100,RU,66,48.1167,132.4833,40.71,9.33
353,Tsaratanana,0,MG,56,-16.7833,47.65,68.13,7.54
354,Sikasso,78,ML,69,10.9167,-7.0,80.55,5.1
355,Zhigansk,52,RU,97,66.7697,123.3711,10.87,1.68
356,Chumikan,53,RU,67,54.7183,135.315,31.3,5.99
357,Port-Gentil,40,GA,83,-0.7193,8.7815,80.56,8.05
358,Labuhan,96,ID,86,-6.8844,112.2051,78.66,8.34
359,Udachnyy,94,RU,95,66.4167,112.4,21.83,7.67
360,Luderitz,90,NA,89,-26.6481,15.1594,60.19,5.77
361,Mananara,41,MG,86,-16.1667,49.7667,66.42,3.85
362,Gizo,12,SB,70,-8.103,156.8419,81.16,4.99
363,Ketchikan,54,US,71,55.3422,-131.6461,51.78,7.85
364,Ilulissat,100,GL,87,69.2167,-51.1,26.74,6.35
365,Trapani,20,IT,78,37.8333,12.6667,70.23,3.44
366,Inhambane,20,MZ,88,-23.865,35.3833,75.18,5.01
367,Sayyan,39,YE,33,15.1718,44.3244,59.79,10.09
368,Bakani,88,IN,82,24.2833,76.2333,76.42,3.09
369,Constitucion,1,CL,58,-35.3333,-72.4167,58.75,11.56
370,Teguise,20,ES,73,29.0605,-13.564,70.02,11.5
371,Provideniya,22,RU,66,64.3833,-173.3,29.5,9.31
372,Grindavik,100,IS,75,63.8424,-22.4338,39.15,11.5
373,Chapais,100,CA,81,49.7834,-74.8492,37.18,11.01
374,Nador,20,MA,73,35.174,-2.9287,73.47,5.75
375,Neryungri,84,RU,98,56.6709,124.6491,22.05,2.95
376,Troitsko-Pechorsk,31,RU,88,62.7084,56.1964,38.7,9.75
377,Sao Felix Do Xingu,85,BR,72,-6.6447,-51.995,78.44,6.69
378,Parrita,100,CR,76,9.5201,-84.3225,81.73,5.91
379,Kongolo,100,CD,74,-5.3833,27.0,73.83,4.0
380,Mayo,0,US,44,38.8876,-76.5119,71.08,3.0
381,Sur,24,OM,44,22.5667,59.5289,81.12,6.17
382,Guerrero Negro,22,MX,69,27.9769,-114.0611,75.45,13.4
383,Suifenhe,100,CN,95,44.4,131.1667,35.19,16.69
384,San Jose Del Boqueron,40,HN,74,15.4833,-87.8667,84.31,2.3
385,Carnot,49,CF,96,4.9409,15.8665,69.82,1.81
386,Vardo,0,NO,75,70.3705,31.1107,40.98,6.91
387,Saint-Augustin,100,CA,41,51.226,-58.6502,45.63,14.05
388,Puerto Baquerizo Moreno,75,EC,73,-0.9,-89.6,70.79,16.11
389,Dingle,100,PH,92,10.9995,122.6711,75.11,2.26
390,Fallon,0,US,23,39.4735,-118.7774,77.45,4.61
391,Shumskiy,100,RU,88,54.8318,99.1328,39.45,3.31
392,Phonhong,99,LA,98,18.5007,102.4166,71.53,2.59
393,Faya,2,SA,33,18.3851,42.4509,68.11,9.82
394,Sola,39,VU,73,-13.8833,167.55,79.25,3.96
395,Klyuchi,38,RU,62,52.2667,79.1667,42.89,9.01
396,Nyurba,100,RU,96,63.2842,118.3319,26.24,0.6
397,Tutoia,96,BR,69,-2.7619,-42.2744,83.57,15.88
398,Maceio,40,BR,69,-9.6658,-35.7353,83.64,13.8
399,San Andres,75,CO,79,12.5847,-81.7006,84.22,8.05
400,Pringsewu,100,ID,96,-5.3582,104.9744,73.83,4.23
401,Qaqortoq,100,GL,92,60.7167,-46.0333,37.11,14.58
402,Janossomorja,90,HU,57,47.7862,17.136,59.2,8.05
403,Mangai,87,CD,81,-4.05,19.5333,74.23,0.98
404,Kirakira,20,SB,84,-10.4544,161.9205,77.47,1.21
405,Beaufort,100,MY,94,5.3473,115.7455,74.21,1.88
406,Orje,100,NO,89,59.4802,11.6602,50.36,10.38
407,Tual,100,ID,77,-5.6667,132.75,82.76,12.37
408,Alenquer,77,BR,68,-1.9417,-54.7383,82.65,10.94
409,Geraldton,95,AU,76,-28.7667,114.6,50.41,9.22
410,Lebedinyy,100,RU,98,58.5167,125.5167,25.39,4.32
